event_id,date,artist,venue,min_price,max_price,total_postings,total_tickets,city,state,ticket_vendor,face_value,sold_out,sk_artist_id,days_to_show
9152786,2016-05-15T20:30:00-0700,The Who,Key Arena,76.7,700.0,93,261.0,Seattle,WA,Ticketmaster,$35.50,0,69685,63
9352312,2016-07-05T20:00:00-0700,Janet Jackson,Key Arena,37.9,812.0,111,370.0,Seattle,WA,Ticketmaster,$35.50,0,410449,114
9366928,2016-04-10T19:30:00-0700,Gary Clark Jr.,Moore Theatre,122.07,199.01,9,42.0,Seattle,WA,NoVendorClass,NoPriceClass,NoSoldOutClass,309236,28
9381711,2016-03-30T19:30:00-0700,Underoath,Showbox Sodo,61.44,1111.0,39,131.0,Seattle,WA,Songkick Tickets,$34.00,0,2357960,17
9394145,2016-04-17T19:00:00-0700,2Cellos,McCaw Hall,94.54,500.0,60,190.0,Seattle,WA,NoVendorClass,NoPriceClass,NoSoldOutClass,4392693,35
9400041,2016-04-16T20:00:00-0700,Arlo Guthrie,Moore Theatre,123.25,110.0,2,4.0,Seattle,WA,NoVendorClass,NoPriceClass,NoSoldOutClass,398453,34
9400044,2016-05-13T20:00:00-0700,Sound Opinions Live,The Neptune,93.75,75.0,1,4.0,Seattle,WA,NoResults,NoResults,NoResults,NoResults,61
9408883,2016-05-13T19:30:00-0700,Selena Gomez,Key Arena,106.34,2749.0,114,330.0,Seattle,WA,Ticketmaster,$33.50,0,1059348,61
9412883,2016-04-04T20:00:00-0700,Ciara,Showbox Sodo,63.26,105.0,17,37.0,Seattle,WA,Songkick Tickets,$44.00,0,106251,22
9425628,2016-08-21T19:30:00-0700,Demi Lovato and Nick Jonas,Key Arena,34.77,980.0,172,681.0,Seattle,WA,Ticketmaster,$25.95,0,976211,161
9426390,2016-07-23T17:00:00-0700,Kenny Chesney,CenturyLink Field,45.36,2500.0,424,2129.0,Seattle,WA,Ticketmaster,$21.00,0,292712,132
9432567,2016-04-02T19:30:00-0700,Ellie Goulding,Key Arena,61.49,307.8,98,469.0,Seattle,WA,Ticketmaster,$31.00,0,2332047,20
9434938,2016-04-20T20:00:00-0700,Bonnie Raitt,Paramount Theatre Seattle,118.53,675.0,11,38.0,Seattle,WA,Tickets.com,$53.50,0,135398,38
